"","label","nodeClass","LDAupper","LDAmean","LDAlower","Sign_group","pvalue","fdr"
"6720","OTU_456","OTU",NA,NA,NA,NA,0.603343425544958,0.822603675855693
"6721","OTU_476","OTU",NA,NA,NA,NA,0.523305817971876,0.764335312137878
"6722","OTU_477","OTU",NA,NA,NA,NA,0.0263732268438554,0.435855886825382
"6723","OTU_485","OTU",NA,NA,NA,NA,0.111939634016821,0.621317957838504
"6724","OTU_490","OTU",NA,NA,NA,NA,0.787235780525623,0.939871136370554
"6725","OTU_502","OTU",NA,NA,NA,NA,0.0722687580865484,0.621317957838504
"6726","OTU_506","OTU",NA,NA,NA,NA,0.324717613739187,0.621317957838504
"6727","OTU_528","OTU",NA,NA,NA,NA,0.727924345803833,0.90344547705934
"6728","OTU_530","OTU",NA,NA,NA,NA,0.88342489343213,0.939871136370554
"6729","OTU_533","OTU",NA,NA,NA,NA,0.243727136577779,0.621317957838504
"6730","OTU_561","OTU",NA,NA,NA,NA,0.719979235364053,0.897031798735585
"6731","OTU_562","OTU",NA,NA,NA,NA,0.770489777185214,0.937707268586847
"6732","OTU_584","OTU",NA,NA,NA,NA,0.505937265495842,0.754895290347759
"6733","OTU_597","OTU",NA,NA,NA,NA,0.179955259285353,0.621317957838504
"6734","OTU_599","OTU",NA,NA,NA,NA,0.365452388292503,0.625985708764711
"6735","OTU_630","OTU",NA,NA,NA,NA,0.92505079253362,0.95316297256952
"6736","OTU_642","OTU",NA,NA,NA,NA,0.998752334638022,0.998988807586136
"6737","OTU_661","OTU",NA,NA,NA,NA,0.525279787463274,0.765686807493058
"6738","OTU_693","OTU",NA,NA,NA,NA,0.822757419831374,0.939871136370554
"6739","OTU_715","OTU",NA,NA,NA,NA,0.136706065687989,0.621317957838504
"6740","OTU_736","OTU",NA,NA,NA,NA,0.14818872753466,0.621317957838504
"6741","OTU_756","OTU",NA,NA,NA,NA,0.169758068126867,0.621317957838504
"6742","OTU_766","OTU",NA,NA,NA,NA,0.859466755688173,0.939871136370554
"6743","OTU_768","OTU",NA,NA,NA,NA,0.155234625338361,0.621317957838504
"6744","OTU_771","OTU",NA,NA,NA,NA,0.193695725044409,0.621317957838504
"6745","OTU_791","OTU",NA,NA,NA,NA,0.352475271584853,0.621317957838504
"6746","OTU_793","OTU",NA,NA,NA,NA,0.168857410893727,0.621317957838504
"6747","OTU_799","OTU",NA,NA,NA,NA,0.498835594670204,0.747331728629667
"6748","OTU_801","OTU",NA,NA,NA,NA,0.602890788247466,0.822603675855693
"6749","OTU_848","OTU",NA,NA,NA,NA,0.123197053763464,0.621317957838504
"6750","OTU_863","OTU",NA,NA,NA,NA,0.501907194447475,0.75098873892396
"6751","OTU_873","OTU",NA,NA,NA,NA,0.794576127854613,0.939871136370554
"6752","OTU_888","OTU",NA,NA,NA,NA,0.079693105406412,0.621317957838504
"6753","OTU_893","OTU",NA,NA,NA,NA,0.141358514317748,0.621317957838504
"6754","OTU_920","OTU",NA,NA,NA,NA,0.211541717706063,0.621317957838504
"6755","OTU_941","OTU",NA,NA,NA,NA,1.10844532774725e-05,0.00116051789671559
"6756","OTU_946","OTU",NA,NA,NA,NA,0.413512944771805,0.665891082197662
"6757","OTU_961","OTU",NA,NA,NA,NA,0.0160033854636906,0.323016562638082
"6758","OTU_970","OTU",NA,NA,NA,NA,0.181055689580314,0.621317957838504
"6759","OTU_988","OTU",NA,NA,NA,NA,0.503078408963701,0.752489037182851
"6760","OTU_990","OTU",NA,NA,NA,NA,0.553066552614874,0.778482649430736
"6761","OTU_991","OTU",NA,NA,NA,NA,0.489506719704037,0.736424328435215
"6762","OTU_1016","OTU",NA,NA,NA,NA,0.30176443454071,0.621317957838504
"6763","OTU_1034","OTU",NA,NA,NA,NA,0.263619208841415,0.621317957838504
"6764","OTU_1040","OTU",NA,NA,NA,NA,0.240892272033433,0.621317957838504
"6765","OTU_1049","OTU",NA,NA,NA,NA,0.0582292791918371,0.602015835645445
"6766","OTU_1054","OTU",NA,NA,NA,NA,0.164207094004487,0.621317957838504
"6767","OTU_1055","OTU",NA,NA,NA,NA,0.082568492014533,0.621317957838504
"6768","OTU_1096","OTU",NA,NA,NA,NA,0.530191554783249,0.76991312882143
"6769","OTU_1121","OTU",NA,NA,NA,NA,0.272205082418823,0.621317957838504
"6770","OTU_1164","OTU",NA,NA,NA,NA,0.382428171528257,0.647058143178027
"6771","OTU_1171","OTU",NA,NA,NA,NA,0.56194240582472,0.78022533831172
"6772","OTU_1198","OTU",NA,NA,NA,NA,0.524618951196726,0.764968940545884
"6773","OTU_1208","OTU",NA,NA,NA,NA,0.787144360881373,0.939871136370554
"6774","OTU_1209","OTU",NA,NA,NA,NA,0.540250389623054,0.775126027842199
"6775","OTU_1242","OTU",NA,NA,NA,NA,0.268896132261504,0.621317957838504
"6776","OTU_1244","OTU",NA,NA,NA,NA,0.513887004679983,0.764335312137878
"6777","OTU_1256","OTU",NA,NA,NA,NA,0.119870324513413,0.621317957838504
"6778","OTU_1259","OTU",NA,NA,NA,NA,0.00255732378009845,0.0922912966473031
"6779","OTU_1267","OTU",NA,NA,NA,NA,0.649472614292773,0.850495115245054
"6780","OTU_1269","OTU",NA,NA,NA,NA,0.376116893461114,0.638477274378756
"6781","OTU_1285","OTU",NA,NA,NA,NA,0.983802219519711,0.987377609446334
"6782","OTU_1289","OTU",NA,NA,NA,NA,0.478600766262309,0.72338681693728
"6783","OTU_1293","OTU",NA,NA,NA,NA,0.582223007346353,0.802652250396814
"6784","OTU_1307","OTU",NA,NA,NA,NA,0.0178366543930115,0.346590151338612
"6785","OTU_1320","OTU",NA,NA,NA,NA,0.923546439386329,0.952024744522938
"6786","OTU_1334","OTU",NA,NA,NA,NA,0.938205650571418,0.959969321357373
"6787","OTU_1344","OTU",NA,NA,NA,NA,0.53010097084574,0.76991312882143
